,TimeStamp,People in room
0,2022-09-01 17:38:06,2
1,2022-09-04 10:51:04,0
2,2022-09-04 10:51:11,1
3,2022-09-04 10:51:16,4
4,2022-09-04 11:25:04,4
5,2022-09-04 11:25:07,4
6,2022-09-04 11:25:08,5
7,2022-09-04 11:25:10,4
8,2022-09-04 11:25:12,3
9,2022-09-04 11:25:14,4
10,2022-09-04 11:25:16,4
11,2022-09-04 11:25:18,4
12,2022-09-04 11:25:20,3
13,2022-09-04 11:25:22,3
14,2022-09-04 11:25:23,2
15,2022-09-04 11:25:25,3
16,2022-09-04 11:25:27,5
17,2022-09-04 11:25:29,4
18,2022-09-04 11:25:31,2
19,2022-09-04 11:25:33,4
20,2022-09-04 11:25:35,2
21,2022-09-04 11:25:36,2
22,2022-09-04 11:25:38,4
23,2022-09-04 11:25:40,5
24,2022-09-04 11:25:42,5
25,2022-09-04 11:25:44,6
26,2022-09-04 11:25:46,7
27,2022-09-04 11:25:47,5
28,2022-09-04 11:25:49,5
29,2022-09-04 11:25:51,4
30,2022-09-04 11:25:53,6
31,2022-09-04 11:25:55,6
32,2022-09-04 11:25:57,6
33,2022-09-04 11:25:59,4
34,2022-09-04 11:26:01,5
35,2022-09-04 11:26:02,5
36,2022-09-04 11:26:04,5
37,2022-09-04 11:26:06,5
38,2022-09-04 11:26:08,5
39,2022-09-04 11:26:10,5
40,2022-09-04 11:26:12,6
41,2022-09-04 11:26:14,5
42,2022-09-04 11:26:16,5
43,2022-09-04 11:26:18,4
44,2022-09-04 11:26:19,4
45,2022-09-04 11:26:21,5
46,2022-09-04 11:26:23,6
47,2022-09-04 11:26:25,6
48,2022-09-04 11:26:27,5
49,2022-09-04 11:26:29,6
50,2022-09-04 11:26:31,6
51,2022-09-04 11:26:32,6
52,2022-09-04 11:26:34,6
53,2022-09-04 11:26:36,3
54,2022-09-04 11:26:38,3
55,2022-09-04 11:26:40,4
56,2022-09-04 11:26:42,2
57,2022-09-04 11:26:44,5
58,2022-09-04 11:26:45,4
59,2022-09-04 11:26:47,4
60,2022-09-04 11:26:49,5
61,2022-09-04 11:26:51,6
62,2022-09-04 11:26:53,5
63,2022-09-04 11:26:55,3
64,2022-09-04 11:26:57,5
65,2022-09-04 11:26:58,4
66,2022-09-04 11:27:00,5
67,2022-09-04 11:27:02,5
68,2022-09-04 11:27:04,5
69,2022-09-04 11:27:06,3
70,2022-09-04 11:27:08,6
71,2022-09-04 11:27:10,6
72,2022-09-04 11:27:12,6
73,2022-09-04 11:27:14,4
74,2022-09-04 11:27:15,5
75,2022-09-04 11:27:17,6
76,2022-09-04 11:27:19,4
77,2022-09-04 11:27:21,2
78,2022-09-04 11:27:23,3
79,2022-09-04 11:27:25,5
80,2022-09-04 11:27:27,3
81,2022-09-04 11:27:29,4
82,2022-09-04 11:27:30,0
83,2022-09-04 11:27:32,0
84,2022-09-04 11:27:34,0
85,2022-09-04 11:27:36,1
86,2022-09-04 11:27:38,2
87,2022-09-04 11:27:40,2
88,2022-09-04 11:27:42,1
89,2022-09-04 11:27:43,1
90,2022-09-04 11:27:45,1
91,2022-09-04 11:27:47,1
92,2022-09-04 11:27:49,1
93,2022-09-04 11:27:51,1
94,2022-09-04 11:27:53,1
95,2022-09-04 11:27:55,1
96,2022-09-04 11:27:56,0
97,2022-09-04 11:27:58,1
98,2022-09-04 11:28:00,1
99,2022-09-04 11:28:02,1
100,2022-09-04 11:28:04,1
101,2022-09-04 11:28:06,1
102,2022-09-04 11:28:07,1
103,2022-09-04 11:28:09,1
104,2022-09-04 11:28:11,1
105,2022-09-04 11:28:13,1
106,2022-09-04 11:28:15,1
107,2022-09-04 11:28:17,1
108,2022-09-04 11:28:20,1
109,2022-09-04 11:28:22,1
110,2022-09-04 11:28:24,1
111,2022-09-04 11:28:25,1
112,2022-09-04 11:28:27,1
113,2022-09-04 11:28:29,1
114,2022-09-04 11:28:31,1
115,2022-09-09 22:00:11,0
116,2022-09-09 22:00:21,0
117,2022-09-09 22:00:31,0
118,2022-09-09 22:00:41,0
119,2022-09-09 22:00:51,0
120,2022-09-09 22:01:01,0
121,2022-09-09 22:01:12,0
122,2022-09-09 22:01:22,0
123,2022-09-09 22:01:33,0
124,2022-09-09 22:01:43,0
125,2022-09-09 22:01:54,0
126,2022-09-09 22:02:04,0
127,2022-09-09 22:02:14,0
128,2022-09-09 22:02:24,0
129,2022-09-09 22:02:34,0
130,2022-09-09 22:02:44,0
131,2022-09-09 22:02:55,0
132,2022-09-09 22:03:05,0
133,2022-09-09 22:03:15,0
134,2022-09-09 22:03:25,0
135,2022-09-09 22:03:36,0
136,2022-09-09 22:03:46,0
137,2022-09-09 22:03:56,0
138,2022-09-09 22:04:06,0
139,2022-09-09 22:04:16,0
140,2022-09-09 22:04:27,0
141,2022-09-09 22:04:37,0
