Time,Temperature(C),Humidity(%),Dewpoint(C),HeatIndex(C)
2022/09/14 16:43,25.6,63,18.1,25.6
2022/09/14 16:44,25.6,63,18.1,25.6
2022/09/14 16:45,25.6,63,18.1,25.6
2022/09/14 16:46,25.6,62,17.8,25.6
2022/09/14 16:47,25.6,62,17.8,25.6
2022/09/14 16:48,25.6,62,17.8,25.6
2022/09/14 16:49,25.6,62,17.8,25.6
2022/09/14 16:50,25.6,62,17.8,25.6
2022/09/14 16:51,25.6,62,17.8,25.6
2022/09/14 16:52,25.6,62,17.8,25.6
2022/09/14 16:53,25.6,62,17.8,25.6
2022/09/14 16:54,25.6,63,18.1,25.6
2022/09/14 16:55,25.6,63,18.1,25.6
2022/09/14 16:56,25.6,64,18.3,25.6
2022/09/14 16:57,25.7,65,18.7,25.7
2022/09/14 16:58,25.7,65,18.7,25.7
2022/09/14 16:59,25.7,64,18.4,25.7
2022/09/14 17:00,25.7,65,18.7,25.7
2022/09/14 17:01,25.8,70,19.9,25.8
2022/09/14 17:02,25.8,72,20.4,25.8
2022/09/14 17:03,25.8,72,20.4,25.8
2022/09/14 17:04,25.8,72,20.4,25.8
2022/09/14 17:05,25.8,73,20.6,25.8
2022/09/14 17:06,25.8,73,20.6,25.8
2022/09/14 17:07,25.8,74,20.8,25.8
2022/09/14 17:08,25.8,74,20.8,25.8
2022/09/14 17:09,25.8,74,20.8,25.8
2022/09/14 17:10,25.8,75,21.1,25.8
2022/09/14 17:11,25.9,75,21.2,25.9
2022/09/14 17:12,25.8,75,21.1,25.8
2022/09/14 17:13,25.9,75,21.2,25.9
2022/09/14 17:14,25.9,75,21.2,25.9
2022/09/14 17:15,25.9,75,21.2,25.9
2022/09/14 17:16,25.9,75,21.2,25.9
2022/09/14 17:17,25.9,76,21.4,25.9
2022/09/14 17:18,26.0,76,21.5,26.0
2022/09/14 17:19,26.0,76,21.5,26.0
2022/09/14 17:20,26.0,76,21.5,26.0
2022/09/14 17:21,26.0,76,21.5,26.0
2022/09/14 17:22,26.0,76,21.5,26.0
2022/09/14 17:23,26.1,76,21.6,26.1
2022/09/14 17:24,26.1,76,21.6,26.1
2022/09/14 17:25,26.1,77,21.8,26.1
2022/09/14 17:26,26.2,77,21.9,26.2
2022/09/14 17:27,26.2,77,21.9,26.2
2022/09/14 17:28,26.2,77,21.9,26.2
2022/09/14 17:29,26.2,77,21.9,26.2
